"date","WeatherDelay","ArrDelay","DepDelay","TaxiIn","TaxiOut","Cancelled","LateAircraftDelay"
"2006-06-22",111,153,111,3,63,0,0
"2006-06-22",84,116,84,4,50,0,0
"2006-06-22",95,95,105,3,18,0,0
"2006-06-25",129,129,140,5,17,0,0
"2006-06-26",118,118,125,1,16,0,0
"2006-06-28",25,26,25,3,20,0,0
"2006-06-28",46,58,46,7,33,0,0
"2006-06-28",44,44,44,1,30,0,0
"2006-06-28",105,105,105,3,30,0,0
"2006-06-30",21,21,36,2,14,0,0
"2006-06-17",135,135,146,5,11,0,0
"2006-06-22",2,104,61,8,51,0,59
"2006-06-28",62,77,62,14,26,0,0
"2006-06-22",23,111,23,8,95,0,0
"2006-06-24",0,NA,NA,0,0,1,0
"2006-06-29",0,NA,NA,0,0,1,0
"2006-06-12",0,NA,NA,0,0,1,0
"2006-06-02",0,NA,NA,0,0,1,0
"2006-06-07",15,21,15,4,15,0,0
"2006-06-08",15,19,15,5,20,0,0
"2006-06-09",25,25,29,4,22,0,0
"2006-06-10",19,23,19,3,28,0,0
"2006-07-14",60,60,60,3,17,0,0
"2006-07-14",35,35,42,5,22,0,0
"2006-07-19",95,153,95,4,97,0,0
"2006-07-20",0,NA,NA,0,0,1,0
"2006-07-20",0,NA,NA,0,0,1,0
"2006-07-20",35,90,35,1,69,0,0
"2006-07-20",41,41,54,1,14,0,0
"2006-07-20",109,109,110,1,35,0,0
"2006-07-21",14,18,14,6,24,0,0
"2006-07-21",115,115,120,3,14,0,0
"2006-07-26",29,40,29,2,36,0,0
"2006-07-27",0,NA,NA,0,0,1,0
"2006-07-28",0,NA,NA,0,0,1,0
"2006-07-28",83,83,90,3,15,0,0
"2006-07-20",44,79,83,6,21,0,35
"2006-07-02",99,132,99,9,51,0,0
"2006-07-20",35,81,88,7,17,0,46
"2006-07-11",20,113,100,6,32,0,0
"2006-07-20",176,192,176,9,28,0,0
"2006-07-02",83,83,105,2,12,0,0
"2006-07-06",19,19,30,1,19,0,0
"2006-07-11",5,16,5,2,26,0,0
"2006-07-12",121,122,121,2,21,0,0
"2006-07-12",160,176,160,5,44,0,0
"2006-08-15",21,21,25,4,22,0,0
"2006-08-18",46,46,50,1,32,0,0
"2006-08-19",38,38,44,2,23,0,0
"2006-08-24",0,NA,NA,0,0,1,0
"2006-08-24",44,44,60,3,14,0,0
"2006-08-24",233,233,235,2,24,0,0
"2006-08-24",159,159,176,4,13,0,0
"2006-08-24",50,62,50,4,39,0,0
"2006-08-25",0,NA,NA,0,0,1,0
"2006-08-25",33,33,49,2,13,0,0
"2006-08-26",24,35,24,7,34,0,0
"2006-08-27",125,125,140,1,13,0,0
"2006-08-28",5,15,5,3,17,0,0
"2006-08-28",6,23,6,1,43,0,0
"2006-08-28",34,58,34,2,49,0,0
"2006-08-10",17,18,17,6,27,0,0
"2006-08-04",35,35,39,7,11,0,0
"2006-08-26",89,89,92,5,19,0,0
"2006-08-28",30,44,30,8,26,0,0
"2006-08-02",0,NA,NA,0,0,1,0
"2006-08-03",24,24,35,2,15,0,0
"2006-08-03",15,28,15,5,35,0,0
"2006-08-03",36,75,36,6,62,0,0
"2006-08-03",56,56,69,8,12,0,0
"2006-08-04",46,46,65,2,12,0,0
"2006-08-07",18,18,35,5,18,0,0
"2006-08-09",24,24,24,7,20,0,0
"2006-08-10",211,211,227,3,11,0,0
"2006-08-10",94,173,94,1,87,0,0
"2006-09-17",0,NA,NA,0,0,1,0
"2006-09-17",44,44,44,2,26,0,0
"2006-09-17",103,103,110,2,14,0,0
"2006-09-19",45,45,50,1,27,0,0
"2006-09-19",27,27,28,2,27,0,0
"2006-09-21",49,49,50,3,22,0,0
"2006-09-22",0,NA,NA,0,0,1,0
"2006-09-22",188,188,207,1,18,0,0
"2006-09-23",57,57,60,2,29,0,0
"2006-09-25",20,20,38,1,13,0,0
"2006-09-27",85,101,85,3,26,0,0
"2006-09-27",32,32,45,3,22,0,0
"2006-09-30",0,NA,NA,0,0,1,0
"2006-09-30",68,68,77,2,22,0,0
"2006-09-11",32,32,38,4,17,0,0
"2006-09-17",27,49,51,7,28,0,22
"2006-09-22",0,NA,NA,0,0,1,0
"2006-09-27",0,NA,NA,0,0,1,0
"2006-09-01",0,NA,NA,0,0,1,0
"2006-09-25",21,21,23,4,14,0,0
"2006-09-13",0,NA,NA,0,0,1,0
"2006-09-22",6,76,63,6,36,0,57
"2006-09-01",102,102,105,1,24,0,0
"2006-09-04",30,51,30,3,48,0,0
"2006-09-05",36,36,46,1,18,0,0
"2006-09-08",35,35,45,3,14,0,0
"2006-09-10",19,19,35,2,14,0,0
"2006-09-10",58,58,71,2,12,0,0
"2006-09-10",150,150,161,1,21,0,0
"2006-09-11",0,NA,NA,0,0,1,0
"2006-09-11",104,104,113,1,25,0,0
"2006-09-12",55,57,55,1,24,0,0
"2006-09-12",40,40,40,1,22,0,0
"2006-09-13",66,69,66,2,24,0,0
"2006-09-13",19,19,22,2,18,0,0
"2006-09-13",70,70,70,3,30,0,0
"2006-10-16",30,65,30,5,59,0,0
"2006-10-17",0,NA,NA,0,0,1,0
"2006-10-18",180,180,195,7,20,0,0
"2006-10-18",46,46,60,3,19,0,0
"2006-10-19",15,28,15,2,41,0,0
"2006-10-20",55,55,80,10,14,0,0
"2006-10-25",44,44,55,2,22,0,0
"2006-10-26",0,NA,NA,0,0,1,0
"2006-10-26",45,51,45,7,15,0,0
"2006-10-26",50,50,68,1,7,0,0
"2006-10-27",0,NA,NA,0,0,1,0
"2006-10-27",53,92,53,33,37,0,0
"2006-10-30",86,86,97,1,24,0,0
"2006-10-12",2,43,52,7,11,0,41
"2006-10-13",8,68,68,10,13,0,60
"2006-10-26",2,48,46,11,15,0,44
"2006-10-27",1,46,48,7,13,0,45
"2006-10-29",0,NA,NA,0,0,1,0
"2006-10-03",77,77,79,5,20,0,0
"2006-10-13",0,NA,NA,0,0,1,0
"2006-10-20",0,NA,NA,0,0,1,0
"2006-10-25",0,NA,NA,0,0,1,0
"2006-10-23",0,NA,NA,0,0,1,0
"2006-10-03",45,45,50,5,22,0,0
"2006-10-27",7,17,14,6,20,0,7
"2006-10-03",0,NA,NA,0,0,1,0
"2006-10-12",84,207,223,6,12,0,123
"2006-10-18",9,80,99,9,9,0,71
"2006-10-03",15,84,92,6,13,0,69
"2006-10-27",8,124,127,8,11,0,116
"2006-10-02",0,NA,NA,0,0,1,0
"2006-10-02",0,NA,NA,0,0,1,0
"2006-10-02",0,NA,NA,0,0,1,0
"2006-10-02",60,121,60,3,82,0,0
"2006-10-02",20,41,20,4,47,0,0
"2006-10-02",231,231,255,2,7,0,0
"2006-10-03",21,21,30,4,25,0,0
"2006-10-04",75,93,75,5,36,0,0
"2006-10-04",100,145,100,2,72,0,0
