"date","WeatherDelay","ArrDelay","DepDelay","TaxiIn","TaxiOut","Cancelled","LateAircraftDelay"
"2007-03-28",10,19,10,2,28,0,0
"2007-03-28",80,97,80,1,37,0,0
"2007-03-28",249,249,250,2,20,0,0
"2007-03-28",190,198,190,3,29,0,0
"2007-03-28",60,61,60,4,23,0,0
"2007-03-31",98,99,98,1,29,0,0
"2007-03-02",0,NA,NA,0,0,1,0
"2007-03-22",260,260,176,9,61,0,0
"2007-03-01",8,68,77,6,18,0,60
"2007-03-02",0,NA,NA,0,0,1,0
"2007-03-19",0,NA,NA,0,0,1,0
"2007-03-01",0,NA,NA,0,0,1,0
"2007-03-02",0,NA,NA,0,0,1,0
"2007-03-02",0,NA,NA,0,0,1,0
"2007-03-03",0,NA,NA,0,0,1,0
"2007-03-21",15,118,99,4,37,0,84
"2007-03-22",0,NA,NA,0,0,1,0
"2007-03-02",0,NA,NA,0,0,1,0
"2007-03-22",94,107,109,7,15,0,13
"2007-03-24",39,61,69,6,17,0,22
"2007-03-24",3,21,30,4,17,0,18
"2007-04-01",57,57,67,2,15,0,0
"2007-04-03",95,105,95,5,30,0,0
"2007-04-03",0,NA,NA,0,0,1,0
"2007-04-03",0,NA,NA,0,0,1,0
"2007-04-04",74,74,85,2,12,0,0
"2007-04-04",85,94,85,2,29,0,0
"2007-04-04",36,36,50,3,18,0,0
"2007-04-05",33,33,50,3,10,0,0
"2007-04-05",85,86,85,3,22,0,0
"2007-04-05",22,22,25,3,21,0,0
"2007-04-06",70,76,70,4,26,0,0
"2007-04-10",29,29,40,1,12,0,0
"2007-04-10",20,22,20,3,34,0,0
"2007-04-11",0,NA,NA,0,0,1,0
"2007-04-11",0,NA,NA,0,0,1,0
"2007-04-11",0,NA,NA,0,0,1,0
"2007-04-11",63,87,63,6,30,0,0
"2007-04-12",94,94,95,3,19,0,0
"2007-04-12",29,29,40,2,17,0,0
"2007-04-13",20,27,20,10,22,0,0
"2007-04-13",50,54,50,6,23,0,0
"2007-04-14",35,41,35,3,20,0,0
"2007-04-17",36,36,37,3,23,0,0
"2007-04-24",25,37,25,2,34,0,0
"2007-04-24",15,18,15,2,25,0,0
"2007-04-25",216,216,225,0,10,0,0
"2007-04-25",20,32,20,3,37,0,0
"2007-04-25",23,23,25,2,18,0,0
"2007-04-25",60,61,60,6,22,0,0
"2007-04-26",150,161,150,0,34,0,0
"2007-04-26",0,NA,NA,0,0,1,0
"2007-04-26",9,17,9,3,27,0,0
"2007-04-26",170,218,170,4,70,0,0
"2007-04-26",0,NA,NA,0,0,1,0
"2007-04-27",35,47,35,3,26,0,0
"2007-04-27",220,233,220,1,35,0,0
"2007-04-30",40,42,40,4,20,0,0
"2007-04-11",9,261,159,16,109,0,150
"2007-04-03",307,327,307,13,32,0,0
"2007-04-11",78,145,120,6,48,0,42
"2007-04-26",7,67,69,6,22,0,60
"2007-04-01",32,32,44,4,15,0,0
"2007-04-15",31,31,37,4,20,0,0
"2007-04-01",76,76,89,7,14,0,0
"2007-04-03",64,87,64,12,35,0,0
"2007-04-03",0,NA,NA,0,0,1,0
"2007-04-11",0,NA,NA,0,0,1,0
"2007-04-11",15,64,16,9,57,0,1
"2007-04-25",7,92,95,5,19,0,85
"2007-04-11",0,NA,NA,0,0,1,0
"2007-04-12",0,NA,NA,0,0,1,0
"2007-04-03",0,NA,NA,0,0,1,0
"2007-04-03",0,NA,NA,0,0,1,0
"2007-04-03",0,NA,NA,0,0,1,0
"2007-04-03",0,NA,NA,0,0,1,0
"2007-04-11",11,37,15,11,37,0,4
"2007-05-01",161,166,161,10,33,0,0
"2007-05-02",22,22,30,3,24,0,0
"2007-05-02",32,32,36,1,17,0,0
"2007-05-03",40,45,40,4,22,0,0
"2007-05-04",16,16,21,3,25,0,0
"2007-05-06",10,16,10,3,31,0,0
"2007-05-09",28,28,31,5,21,0,0
"2007-05-09",59,59,66,3,17,0,0
"2007-05-10",0,NA,NA,0,0,1,0
"2007-05-10",22,22,25,3,24,0,0
"2007-05-13",64,65,64,2,22,0,0
"2007-05-14",15,15,26,3,23,0,0
"2007-05-14",43,43,51,1,17,0,0
"2007-05-15",114,147,114,5,23,0,0
"2007-05-16",40,46,40,2,23,0,0
"2007-05-16",71,113,71,2,65,0,0
"2007-05-18",21,21,30,2,17,0,0
"2007-05-20",100,102,100,1,17,0,0
"2007-05-23",50,62,50,5,27,0,0
"2007-05-24",16,16,26,1,19,0,0
"2007-05-24",19,19,21,1,18,0,0
"2007-05-26",34,34,50,1,18,0,0
"2007-05-30",16,29,16,1,35,0,0
"2007-05-23",0,NA,NA,0,0,1,0
"2007-06-01",0,NA,NA,0,0,1,0
"2007-06-03",159,159,170,2,13,0,0
"2007-06-03",25,76,25,3,66,0,0
"2007-06-04",81,86,81,5,21,0,0
"2007-06-04",30,64,30,3,54,0,0
"2007-06-04",136,141,136,2,18,0,0
"2007-06-05",36,42,36,2,26,0,0
"2007-06-05",19,19,21,2,25,0,0
"2007-06-07",21,21,30,1,21,0,0
"2007-06-07",0,NA,NA,0,0,1,0
"2007-06-07",50,62,50,2,33,0,0
"2007-06-08",0,NA,NA,0,0,1,0
"2007-06-08",51,51,60,2,17,0,0
"2007-06-11",0,NA,NA,0,0,1,0
"2007-06-12",107,107,115,1,15,0,0
"2007-06-13",0,NA,NA,0,0,1,0
"2007-06-15",50,50,51,2,22,0,0
"2007-06-17",23,23,25,2,23,0,0
"2007-06-18",0,NA,NA,0,0,1,0
"2007-06-18",60,69,60,2,31,0,0
"2007-06-19",0,NA,NA,0,0,1,0
"2007-06-19",78,78,86,4,15,0,0
"2007-06-19",55,55,55,4,17,0,0
"2007-06-19",151,151,160,2,17,0,0
"2007-06-20",0,NA,NA,0,0,1,0
"2007-06-20",0,NA,NA,0,0,1,0
"2007-06-22",10,20,10,2,27,0,0
"2007-06-24",91,91,95,3,16,0,0
"2007-06-27",0,NA,NA,0,0,1,0
"2007-06-27",10,42,10,4,50,0,0
"2007-06-29",10,24,10,5,28,0,0
"2007-06-04",0,NA,NA,0,0,1,0
"2007-06-07",0,NA,NA,0,0,1,0
"2007-06-18",0,NA,NA,0,0,1,0
"2007-06-04",16,25,16,8,32,0,0
"2007-06-26",1,176,181,9,22,0,175
"2007-06-26",33,156,163,4,24,0,123
"2007-06-27",61,188,79,55,86,0,18
"2007-06-27",20,337,176,32,147,0,156
"2007-06-07",17,90,87,18,15,0,70
"2007-06-07",11,117,123,6,22,0,106
"2007-07-09",96,96,100,2,20,0,0
"2007-07-10",20,26,20,2,35,0,0
"2007-07-11",160,170,160,10,25,0,0
"2007-07-12",65,65,65,2,26,0,0
"2007-07-13",40,40,45,2,16,0,0
"2007-07-17",24,24,27,3,20,0,0
"2007-07-18",271,271,282,3,18,0,0
"2007-07-18",15,27,15,4,44,0,0
"2007-07-19",55,56,55,2,32,0,0
"2007-07-19",167,208,167,2,61,0,0
"2007-07-26",112,114,112,1,27,0,0
"2007-07-26",46,74,46,5,57,0,0
"2007-07-26",0,NA,NA,0,0,1,0
"2007-07-27",119,119,120,4,20,0,0
"2007-07-29",100,109,100,4,24,0,0
"2007-07-29",30,40,30,5,25,0,0
"2007-07-09",8,33,8,5,48,0,0
"2007-07-10",18,23,18,6,26,0,0
"2007-07-15",19,19,24,6,17,0,0
"2007-07-17",54,54,65,7,12,0,0
"2007-07-19",190,190,190,5,26,0,0
"2007-07-20",99,99,111,2,14,0,0
"2007-07-17",0,NA,NA,0,0,1,0
"2007-07-15",0,NA,NA,0,0,1,0
"2007-07-15",0,NA,NA,0,0,1,0
"2007-07-29",9,15,9,4,21,0,0
"2007-07-18",161,222,161,7,40,0,0
"2007-07-02",1,25,27,7,27,0,24
"2007-08-03",47,65,47,3,36,0,0
"2007-08-05",47,59,47,2,40,0,0
"2007-08-05",25,75,25,3,77,0,0
"2007-08-05",69,76,69,4,30,0,0
"2007-08-06",67,72,67,3,35,0,0
"2007-08-06",42,45,42,2,30,0,0
"2007-08-07",40,88,40,5,73,0,0
"2007-08-14",89,89,90,5,26,0,0
"2007-08-14",50,61,50,3,37,0,0
"2007-08-17",0,NA,NA,0,0,1,0
"2007-08-19",15,71,15,2,80,0,0
"2007-08-19",30,104,30,5,94,0,0
"2007-08-20",75,75,85,1,18,0,0
"2007-08-20",54,54,55,3,24,0,0
"2007-08-20",15,26,15,2,24,0,0
"2007-08-23",69,149,69,1,106,0,0
"2007-08-24",69,75,69,1,28,0,0
"2007-08-24",22,22,36,2,18,0,0
"2007-08-26",10,18,10,2,29,0,0
"2007-08-27",25,25,25,5,22,0,0
"2007-08-30",49,49,49,2,5,0,0
"2007-08-05",15,15,13,6,20,0,0
"2007-08-05",186,186,197,9,21,0,0
"2007-08-16",134,134,141,8,21,0,0
"2007-08-20",151,276,274,13,17,0,123
"2007-08-06",33,65,33,5,58,0,0
"2007-08-23",0,NA,NA,0,0,1,0
"2007-08-05",76,76,85,5,13,0,0
"2007-08-06",24,24,25,9,15,0,0
"2007-08-13",150,164,150,10,29,0,0
"2007-08-15",28,38,28,6,34,0,0
"2007-08-17",18,18,26,4,19,0,0
"2007-08-19",43,43,47,6,21,0,0
"2007-08-05",32,65,59,7,22,0,27
"2007-08-05",149,201,182,17,27,0,33
"2007-08-07",0,NA,NA,0,0,1,0
"2007-08-05",20,20,21,10,15,0,0
"2007-08-14",34,56,34,9,33,0,0
"2007-08-19",0,NA,NA,0,0,1,0
"2007-08-06",25,52,25,7,15,0,0
"2007-08-05",14,127,103,7,46,0,89
"2007-08-19",20,35,27,16,13,0,7
"2007-09-06",100,100,109,2,19,0,0
"2007-09-06",19,20,19,4,22,0,0
"2007-09-07",89,89,94,3,23,0,0
"2007-09-07",102,102,106,3,24,0,0
"2007-09-07",118,118,130,2,16,0,0
"2007-09-07",87,87,94,4,19,0,0
"2007-09-07",15,15,34,2,12,0,0
"2007-09-11",146,146,159,1,22,0,0
"2007-09-14",64,64,84,3,10,0,0
"2007-09-23",29,29,39,2,12,0,0
"2007-09-24",34,42,34,9,30,0,0
"2007-09-25",0,NA,NA,0,0,1,0
"2007-09-25",270,272,270,4,29,0,0
"2007-09-27",9,29,9,4,49,0,0
"2007-09-28",64,76,64,4,35,0,0
"2007-09-25",115,115,78,17,22,0,0
"2007-09-06",8,81,76,5,28,0,68
"2007-09-25",6,24,6,8,35,0,0
"2007-09-09",15,15,15,5,21,0,0
"2007-09-25",57,71,57,13,21,0,0
"2007-10-01",28,28,30,3,28,0,0
"2007-10-05",5,28,5,2,49,0,0
"2007-10-05",47,47,54,5,22,0,0
"2007-10-07",32,32,39,4,17,0,0
"2007-10-09",92,92,99,1,23,0,0
"2007-10-10",0,NA,NA,0,0,1,0
"2007-10-14",10,18,10,2,30,0,0
"2007-10-14",31,32,31,5,31,0,0
"2007-10-15",29,29,33,1,22,0,0
"2007-10-17",24,26,24,3,31,0,0
"2007-10-18",34,87,34,5,77,0,0
"2007-10-18",125,131,125,3,30,0,0
"2007-10-19",63,63,71,2,22,0,0
"2007-10-19",162,166,162,3,22,0,0
"2007-10-21",24,24,39,3,13,0,0
"2007-10-21",85,112,85,3,53,0,0
"2007-10-22",20,20,23,1,20,0,0
"2007-10-24",11,31,11,3,19,0,0
"2007-10-25",10,25,10,4,29,0,0
"2007-10-25",10,20,10,2,22,0,0
"2007-10-25",27,27,29,4,17,0,0
"2007-10-28",17,17,24,10,24,0,0
"2007-10-12",36,36,36,8,15,0,0
"2007-11-05",41,45,41,4,33,0,0
"2007-11-11",25,29,25,5,28,0,0
"2007-11-14",20,20,30,2,18,0,0
"2007-11-15",44,44,45,3,29,0,0
"2007-11-15",17,17,30,2,18,0,0
"2007-11-19",82,82,82,10,25,0,0
"2007-11-19",58,58,59,2,21,0,0
"2007-11-19",62,62,75,3,17,0,0
"2007-11-19",41,41,45,2,22,0,0
"2007-11-21",0,NA,NA,0,0,1,0
"2007-11-21",41,41,57,3,14,0,0
"2007-11-23",19,19,29,1,14,0,0
"2007-11-26",27,27,29,3,17,0,0
"2007-11-26",25,49,25,3,45,0,0
"2007-11-26",10,33,10,3,35,0,0
"2007-11-29",22,22,30,3,23,0,0
"2007-11-20",13,27,13,8,21,0,0
"2007-11-25",25,25,28,8,15,0,0
"2007-11-19",30,50,30,10,34,0,0
"2007-11-20",9,55,64,6,13,0,46
"2007-12-01",30,84,30,4,83,0,0
"2007-12-01",20,98,20,4,45,0,0
"2007-12-02",0,NA,NA,0,0,1,0
"2007-12-03",37,37,40,2,18,0,0
"2007-12-04",25,50,25,8,51,0,0
"2007-12-04",15,23,15,2,41,0,0
"2007-12-05",0,NA,NA,0,0,1,0
"2007-12-05",0,NA,NA,0,0,1,0
"2007-12-05",100,106,100,5,39,0,0
"2007-12-05",45,117,45,1,96,0,0
"2007-12-07",10,30,10,4,41,0,0
"2007-12-07",26,26,40,3,18,0,0
"2007-12-09",41,85,41,2,50,0,0
"2007-12-09",0,NA,NA,0,0,1,0
"2007-12-10",235,235,235,10,10,0,0
"2007-12-10",145,153,145,3,27,0,0
"2007-12-10",94,97,94,1,21,0,0
"2007-12-11",0,NA,NA,0,0,1,0
"2007-12-12",39,54,39,2,41,0,0
"2007-12-13",37,37,50,3,18,0,0
"2007-12-13",15,17,15,5,33,0,0
"2007-12-14",45,45,50,2,27,0,0
"2007-12-16",105,110,105,11,20,0,0
"2007-12-16",27,27,35,2,20,0,0
"2007-12-16",40,54,40,6,34,0,0
"2007-12-17",62,62,70,3,19,0,0
"2007-12-21",113,113,120,3,23,0,0
"2007-12-21",35,53,35,8,38,0,0
"2007-12-21",107,107,110,7,15,0,0
"2007-12-22",145,145,145,19,7,0,0
"2007-12-22",135,135,135,3,22,0,0
"2007-12-22",70,87,70,14,27,0,0
"2007-12-23",0,NA,NA,0,0,1,0
"2007-12-23",335,349,335,6,46,0,0
"2007-12-23",25,71,25,1,67,0,0
"2007-12-26",40,40,50,1,14,0,0
"2007-12-27",70,70,70,7,28,0,0
"2007-12-27",48,48,60,3,15,0,0
"2007-12-28",140,141,140,5,24,0,0
"2007-12-28",125,144,125,1,40,0,0
"2007-12-11",47,47,36,9,28,0,0
"2007-12-11",17,17,1,8,33,0,0
"2007-12-11",0,NA,NA,0,0,1,0
"2007-12-15",182,182,158,10,36,0,0
"2007-12-21",0,NA,NA,0,0,1,0
"2007-12-21",0,NA,NA,0,0,1,0
"2007-12-28",0,NA,NA,0,0,1,0
"2007-12-15",0,NA,NA,0,0,1,0
"2007-12-01",0,NA,NA,0,0,1,0
"2007-12-04",126,215,197,7,35,0,71
"2007-12-06",10,45,39,6,28,0,29
"2007-12-09",11,45,40,10,16,0,29
"2007-12-23",8,157,155,6,23,0,147
"2007-12-05",6,25,32,13,12,0,19
"2007-12-11",0,NA,NA,0,0,1,0
"2007-12-31",31,83,73,7,28,0,42
"2007-12-01",0,NA,NA,0,0,1,0
"2007-12-04",31,37,31,6,30,0,0
"2007-12-09",0,NA,NA,0,0,1,0
"2007-12-11",0,NA,NA,0,0,1,0
"2007-12-15",4,83,55,8,47,0,51
"2007-12-23",0,NA,NA,0,0,1,0
"2007-12-28",4,36,39,8,13,0,32
"2007-12-02",43,46,43,10,12,0,0
"2007-12-09",24,59,24,13,43,0,0
"2007-12-11",29,85,57,7,43,0,28
"2007-12-28",0,NA,NA,0,0,1,0
"2007-12-02",61,66,61,6,25,0,0
"2007-12-09",0,NA,NA,0,0,1,0
"2007-12-11",0,NA,NA,0,0,1,0
"2007-12-23",0,NA,NA,0,0,1,0
"2007-12-28",0,NA,NA,0,0,1,0
"2007-12-05",19,78,19,5,67,0,0
"2007-12-09",0,NA,NA,0,0,1,0
"2007-12-11",125,152,125,7,45,0,0
"2007-12-16",24,62,24,5,55,0,0
"2007-12-23",17,47,17,7,51,0,0
"2007-12-02",0,NA,NA,0,0,1,0
"2007-12-04",0,NA,NA,0,0,1,0
"2007-12-05",1,25,7,10,31,0,6
"2007-12-09",0,NA,NA,0,0,1,0
"2007-12-23",0,NA,NA,0,0,1,0
"2007-12-02",0,NA,NA,0,0,1,0
"2007-12-05",0,NA,NA,0,0,1,0
"2007-12-09",35,89,43,11,53,0,8
"2007-12-10",14,56,14,8,55,0,0
"2007-12-11",22,50,22,9,43,0,0
"2007-12-15",31,73,77,5,11,0,42
"2007-12-17",117,138,117,8,42,0,0
"2007-12-23",33,59,48,6,30,0,15
"2007-12-24",57,57,67,4,12,0,0
"2007-12-31",0,NA,NA,0,0,1,0
"2007-12-01",0,NA,NA,0,0,1,0
"2007-12-04",6,195,165,8,59,0,159
"2007-12-08",9,63,19,8,63,0,10
"2007-12-10",16,30,16,6,27,0,0
"2007-12-28",0,NA,NA,0,0,1,0
"2007-12-10",17,34,17,10,32,0,0
"2008-01-02",40,63,40,1,43,0,0
"2008-01-03",69,69,70,3,27,0,0
"2008-01-06",23,23,30,6,17,0,0
"2008-01-06",40,41,40,4,18,0,0
"2008-01-06",28,28,30,10,24,0,0
"2008-01-07",34,34,45,3,19,0,0
"2008-01-09",87,87,97,4,14,0,0
"2008-01-11",NA,NA,NA,NA,NA,1,NA
"2008-01-13",71,71,83,6,15,0,0
"2008-01-14",25,30,25,1,30,0,0
"2008-01-17",90,91,90,8,15,0,0
"2008-01-17",18,60,18,2,61,0,0
"2008-01-17",25,47,25,3,43,0,0
"2008-01-17",180,189,180,2,42,0,0
"2008-01-17",133,182,133,5,61,0,0
"2008-01-18",35,41,35,5,30,0,0
"2008-01-21",40,52,40,8,34,0,0
"2008-01-21",20,28,20,3,38,0,0
"2008-01-22",58,58,70,1,18,0,0
"2008-01-22",40,41,40,3,20,0,0
"2008-01-23",38,38,50,4,14,0,0
"2008-01-23",70,82,70,6,38,0,0
"2008-01-24",40,60,40,4,48,0,0
"2008-01-25",88,113,88,5,47,0,0
"2008-01-28",39,39,42,1,23,0,0
"2008-01-28",40,40,64,2,11,0,0
"2008-01-28",NA,NA,NA,NA,NA,1,NA
"2008-01-29",30,80,30,4,61,0,0
"2008-01-31",NA,NA,NA,NA,NA,1,NA
"2008-01-31",NA,NA,NA,NA,NA,1,NA
"2008-01-31",150,188,150,3,65,0,0
"2008-01-04",NA,NA,NA,NA,NA,1,NA
"2008-01-31",NA,NA,NA,NA,NA,1,NA
"2008-01-01",NA,NA,NA,NA,NA,1,NA
"2008-01-08",NA,NA,NA,NA,NA,1,NA
"2008-01-14",3,40,38,7,26,0,35
"2008-01-22",4,47,53,9,13,0,43
"2008-01-23",22,44,45,6,22,0,22
"2008-01-29",1,49,34,8,13,0,33
"2008-01-01",17,115,73,7,57,0,56
"2008-01-23",12,123,58,5,88,0,46
"2008-01-02",NA,NA,NA,NA,NA,1,NA
"2008-01-22",7,55,8,6,67,0,1
"2008-01-01",21,86,21,9,81,0,0
"2008-01-20",63,63,65,8,19,0,0
"2008-01-30",10,35,17,7,43,0,0
"2008-01-01",NA,NA,NA,NA,NA,1,NA
"2008-01-02",NA,NA,NA,NA,NA,1,NA
"2008-01-10",NA,NA,NA,NA,NA,1,NA
"2008-01-29",96,267,230,5,12,0,134
"2008-01-31",37,99,101,8,14,0,62
"2008-01-21",39,65,54,4,34,0,15
"2008-01-22",10,53,24,6,51,0,14
"2008-01-31",19,54,44,7,30,0,25
"2008-01-14",8,99,97,9,20,0,89
"2008-01-17",12,138,120,6,37,0,108
"2008-01-21",29,114,120,4,15,0,85
"2008-01-23",20,68,65,4,27,0,0
"2008-01-25",14,70,54,5,41,0,40
"2008-01-01",NA,NA,NA,NA,NA,1,NA
"2008-01-01",45,71,45,7,49,0,0
"2008-01-01",244,263,244,2,46,0,0
"2008-01-02",68,71,68,4,30,0,0
"2008-01-02",29,29,40,1,11,0,0
"2008-02-01",NA,NA,NA,NA,NA,1,NA
"2008-02-01",70,87,70,2,43,0,0
"2008-02-03",110,119,110,2,39,0,0
"2008-02-03",27,27,30,2,30,0,0
"2008-02-03",25,25,30,5,24,0,0
"2008-02-04",NA,NA,NA,NA,NA,1,NA
"2008-02-04",NA,NA,NA,NA,NA,1,NA
"2008-02-04",NA,NA,NA,NA,NA,1,NA
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-07",38,45,38,5,29,0,0
"2008-02-07",50,65,50,2,40,0,0
"2008-02-07",25,30,25,1,28,0,0
"2008-02-08",NA,NA,NA,NA,NA,1,NA
"2008-02-10",87,87,90,3,20,0,0
"2008-02-10",40,45,40,3,34,0,0
"2008-02-11",20,40,20,11,37,0,0
"2008-02-12",130,150,130,4,42,0,0
"2008-02-12",95,106,95,4,26,0,0
"2008-02-13",69,71,69,3,26,0,0
"2008-02-13",5,15,5,4,20,0,0
"2008-02-14",21,21,25,4,24,0,0
"2008-02-15",15,18,15,3,33,0,0
"2008-02-18",26,26,30,3,22,0,0
"2008-02-18",57,57,58,5,21,0,0
"2008-02-20",50,65,50,2,19,0,0
"2008-02-20",50,54,50,3,27,0,0
"2008-02-21",15,60,15,5,69,0,0
"2008-02-21",18,18,19,5,17,0,0
"2008-02-21",20,32,20,4,21,0,0
"2008-02-22",20,36,20,4,29,0,0
"2008-02-22",35,39,35,3,30,0,0
"2008-02-22",NA,NA,NA,NA,NA,1,NA
"2008-02-22",65,86,65,21,22,0,0
"2008-02-24",18,18,20,7,22,0,0
"2008-02-25",75,131,75,1,80,0,0
"2008-02-25",70,72,70,4,29,0,0
"2008-02-26",NA,NA,NA,NA,NA,1,NA
"2008-02-27",25,26,25,1,22,0,0
"2008-02-27",117,137,117,5,33,0,0
"2008-02-29",71,71,79,10,18,0,0
"2008-02-03",NA,NA,NA,NA,NA,1,NA
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-07",NA,NA,NA,NA,NA,1,NA
"2008-02-17",24,24,17,6,24,0,0
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-12",8,26,8,13,26,0,0
"2008-02-25",7,49,51,6,19,0,42
"2008-02-04",NA,NA,NA,NA,NA,1,NA
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-10",7,20,31,4,15,0,13
"2008-02-21",NA,NA,NA,NA,NA,1,NA
"2008-02-25",29,122,87,5,55,0,58
"2008-02-01",13,85,68,10,33,0,55
"2008-02-05",NA,NA,NA,NA,NA,1,NA
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-11",2,38,14,10,42,0,12
"2008-02-03",18,44,53,10,12,0,26
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-07",1,76,46,13,41,0,45
"2008-02-12",7,58,20,8,52,0,13
"2008-02-18",1,38,42,8,17,0,37
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-07",NA,NA,NA,NA,NA,1,NA
"2008-02-12",NA,NA,NA,NA,NA,1,NA
"2008-02-24",26,26,34,5,11,0,0
"2008-02-01",43,87,43,9,50,0,0
"2008-02-05",NA,NA,NA,NA,NA,1,NA
"2008-02-06",22,22,23,6,13,0,0
"2008-02-04",NA,NA,NA,NA,NA,1,NA
"2008-02-05",NA,NA,NA,NA,NA,1,NA
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-02-11",14,95,100,9,17,0,81
"2008-02-12",NA,NA,NA,NA,NA,1,NA
"2008-02-01",NA,NA,NA,NA,NA,1,NA
"2008-02-06",12,80,20,7,71,0,8
"2008-02-12",NA,NA,NA,NA,NA,1,NA
"2008-02-26",NA,NA,NA,NA,NA,1,NA
"2008-02-12",6,80,57,12,32,0,51
"2008-02-06",NA,NA,NA,NA,NA,1,NA
"2008-03-05",20,24,20,8,18,0,0
"2008-03-07",162,175,162,5,22,0,0
"2008-03-08",NA,NA,NA,NA,NA,1,NA
"2008-03-08",NA,NA,NA,NA,NA,1,NA
"2008-03-08",85,93,85,4,33,0,0
"2008-03-09",39,44,39,6,18,0,0
"2008-03-09",41,45,41,3,31,0,0
"2008-03-09",NA,NA,NA,NA,NA,1,NA
"2008-03-10",24,30,24,9,17,0,0
"2008-03-11",19,19,30,3,17,0,0
"2008-03-12",30,30,30,1,26,0,0
"2008-03-13",30,37,30,3,26,0,0
"2008-03-15",64,64,70,3,16,0,0
"2008-03-16",145,145,150,4,21,0,0
"2008-03-17",43,43,50,5,15,0,0
"2008-03-18",35,35,40,8,16,0,0
"2008-03-21",NA,NA,NA,NA,NA,1,NA
"2008-03-21",10,37,10,3,54,0,0
"2008-03-21",90,92,90,3,30,0,0
"2008-03-21",145,194,145,3,72,0,0
"2008-03-21",40,75,40,2,56,0,0
"2008-03-24",19,19,20,10,17,0,0
"2008-03-25",35,35,40,4,16,0,0
"2008-03-26",28,28,30,4,24,0,0
"2008-03-27",90,97,90,5,34,0,0
"2008-03-27",15,18,15,1,25,0,0
"2008-03-27",NA,NA,NA,NA,NA,1,NA
"2008-03-27",60,77,60,9,34,0,0
"2008-03-27",175,184,175,3,30,0,0
"2008-03-28",44,44,50,3,24,0,0
"2008-03-30",55,58,55,8,24,0,0
"2008-03-30",40,41,40,2,21,0,0
"2008-03-30",95,97,95,2,20,0,0
"2008-03-31",NA,NA,NA,NA,NA,1,NA
"2008-03-31",68,68,75,3,20,0,0
"2008-03-31",105,120,105,5,29,0,0
"2008-03-08",29,29,12,6,31,0,0
"2008-03-14",NA,NA,NA,NA,NA,1,NA
"2008-03-15",47,47,51,5,17,0,0
"2008-03-22",60,60,6,4,76,0,0
"2008-03-27",6,288,275,7,32,0,269
"2008-03-21",NA,NA,NA,NA,NA,1,NA
"2008-03-27",NA,NA,NA,NA,NA,1,NA
"2008-03-08",NA,NA,NA,NA,NA,1,NA
"2008-03-21",NA,NA,NA,NA,NA,1,NA
"2008-03-21",NA,NA,NA,NA,NA,1,NA
"2008-03-21",49,86,49,7,56,0,0
"2008-03-08",NA,NA,NA,NA,NA,1,NA
"2008-03-10",20,24,20,11,25,0,0
"2008-03-15",NA,NA,NA,NA,NA,1,NA
"2008-03-22",7,36,13,4,46,0,6
"2008-03-02",55,55,60,4,19,0,0
"2008-03-02",20,23,20,2,19,0,0
"2008-03-02",19,19,20,3,16,0,0
"2008-03-03",80,98,80,9,29,0,0
"2008-03-03",13,24,13,2,40,0,0
"2008-03-03",NA,NA,NA,NA,NA,1,NA
"2008-04-04",35,40,35,4,26,0,0
"2008-04-07",75,89,75,10,32,0,0
"2008-04-08",23,23,25,2,23,0,0
"2008-04-09",46,46,59,0,14,0,0
"2008-04-10",NA,NA,NA,NA,NA,1,NA
"2008-04-10",140,150,140,2,31,0,0
"2008-04-10",80,100,80,11,34,0,0
"2008-04-11",25,30,25,7,19,0,0
"2008-04-13",24,28,24,7,28,0,0
"2008-04-16",50,50,55,1,22,0,0
"2008-04-20",49,68,49,2,41,0,0
"2008-04-25",85,97,85,2,36,0,0
"2008-04-26",31,31,40,3,21,0,0
"2008-04-28",90,107,90,4,29,0,0
"2008-04-28",30,30,30,13,15,0,0
"2008-04-10",9,127,123,7,12,0,114
"2008-04-25",NA,NA,NA,NA,NA,1,NA
"2008-04-10",7,218,212,6,28,0,205
"2008-04-25",NA,NA,NA,NA,NA,1,NA
"2008-04-25",32,32,34,9,20,0,0
"2008-04-10",NA,NA,NA,NA,NA,1,NA
"2008-04-25",NA,NA,NA,NA,NA,1,NA
"2008-04-01",31,31,35,1,17,0,0
"2008-04-03",50,70,50,5,41,0,0
"2008-04-04",20,27,20,3,24,0,0
