UniqueCarrier,tailnum,AvgCatchUpTime,iloscWystapien,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
UA,N913UA,-1.8734,22233,Corporation,BOEING,08/07/1991,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
WN,N913WN,-4.5192,340,Corporation,BOEING,04/24/2008,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
HP,N914AW,-0.5560,12884,Corporation,BOEING,02/15/1985,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1984
US,N914AW,-3.3641,2319,Corporation,BOEING,02/15/1985,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1984
OH,N914CA,-1.3885,8071,Corporation,CANADAIR,09/29/1993,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N914DE,0.2144,23010,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,03/01/1993,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
DL,N914DL,0.3134,20049,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,06/13/1988,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
DL,N914DN,-0.0673,14476,Corporation,MCDONNELL DOUGLAS,02/06/1997,MD-90-30,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
EV,N914EV,-2.6644,10058,Corporation,BOMBARDIER INC,01/31/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N914FJ,-0.9370,4816,Corporation,BOMBARDIER INC,01/30/2004,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N914FR,-0.4207,5026,Corporation,AIRBUS,11/13/2002,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
UA,N914UA,-1.7949,22368,Corporation,BOEING,12/20/1991,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
WN,N914WN,-4.0776,348,Corporation,BOEING,04/17/2008,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
FL,N915AT,-1.3591,10648,Corporation,BOEING,04/16/2001,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
